"amendment_number","amendment_roman","source_object_id","source_object_path","source_object_blob","authoritative_capture_path","authoritative_capture_blob","pre_crosswalk_status","textual_source_canon_status","ratification_structure","ratification_record_status","structural_map_status","structural_map_blob","structural_map_is_source","atomic_extraction_status"
"1","I","CONST.AMENDMENT.01","01-constitutional-source-map/constitution/amendments/AMENDMENT_01.yaml","bad6bd16efcdfae9d5ab5d100c0f573453f43122","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","d0a1ad2699fce83c0648b05aa61cc4439bac07ae","PRE-UNCHANGED","ADMITTED","STRUCTURE_ESTABLISHED","NOT-POPULATED","PRE-UNCHANGED","27c2180f49f3770842cd4c631fc3687d98ad89cc","FALSE","PENDING"
"2","II","CONST.AMENDMENT.02","01-constitutional-source-map/constitution/amendments/AMENDMENT_02.yaml","af2767992eda6f00d4da2087478f90df3a160c48","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","d0a1ad2699fce83c0648b05aa61cc4439bac07ae","PRE-UNCHANGED","ADMITTED","STRUCTURE_ESTABLISHED","NOT-POPULATED","PRE-UNCHANGED","56c6b11b7286b0979e4449385981da43d67b6db1","FALSE","PENDING"
"3","III","CONST.AMENDMENT.03","01-constitutional-source-map/constitution/amendments/AMENDMENT_03.yaml","d85c8f8ba7d97f21f2715986d9d92b6e77ed8ffe","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","d0a1ad2699fce83c0648b05aa61cc4439bac07ae","PRE-UNCHANGED","ADMITTED","STRUCTURE_ESTABLISHED","NOT-POPULATED","PRE-UNCHANGED","12d04f8799c85b42249a1914410b748d3403397b","FALSE","PENDING"
"4","IV","CONST.AMENDMENT.04","01-constitutional-source-map/constitution/amendments/AMENDMENT_04.yaml","9c70d2e43be66834ea288ad24c444f9189b70e1e","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","d0a1ad2699fce83c0648b05aa61cc4439bac07ae","PRE-UNCHANGED","ADMITTED","STRUCTURE_ESTABLISHED","NOT-POPULATED","PRE-UNCHANGED","cf2da1150695ad3f780db1a1fd556dea84407128","FALSE","PENDING"
"5","V","CONST.AMENDMENT.05","01-constitutional-source-map/constitution/amendments/AMENDMENT_05.yaml","afdef262a9a03c494162928d4e0514d2a1ff55c5","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","d0a1ad2699fce83c0648b05aa61cc4439bac07ae","PRE-UNCHANGED","ADMITTED","STRUCTURE_ESTABLISHED","NOT-POPULATED","PRE-UNCHANGED","fd4fc2a2cb6c40fa5a8174c58bb61830640953ac","FALSE","PENDING"
"6","VI","CONST.AMENDMENT.06","01-constitutional-source-map/constitution/amendments/AMENDMENT_06.yaml","a1650b6cf99dfc0bc0cd26dee3da9e005b0c52c3","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","d0a1ad2699fce83c0648b05aa61cc4439bac07ae","PRE-UNCHANGED","ADMITTED","STRUCTURE_ESTABLISHED","NOT-POPULATED","PRE-UNCHANGED","ce8a6ecea4f21d9019ea2ec5007de32e1e438631","FALSE","PENDING"
"7","VII","CONST.AMENDMENT.07","01-constitutional-source-map/constitution/amendments/AMENDMENT_07.yaml","4575279d5836c4e0574fe5acc0fa8c46f235b0a7","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","d0a1ad2699fce83c0648b05aa61cc4439bac07ae","PRE-UNCHANGED","ADMITTED","STRUCTURE_ESTABLISHED","NOT-POPULATED","PRE-UNCHANGED","8fec5bb06547f64bb78d877067e10c787f38caad","FALSE","PENDING"
"8","VIII","CONST.AMENDMENT.08","01-constitutional-source-map/constitution/amendments/AMENDMENT_08.yaml","b5c522f31a88252b5f2a1926a9cef052a9b5710d","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","d0a1ad2699fce83c0648b05aa61cc4439bac07ae","PRE-UNCHANGED","ADMITTED","STRUCTURE_ESTABLISHED","NOT-POPULATED","PRE-UNCHANGED","e3047027200fbc0e11983ed5751031d2332b6d51","FALSE","PENDING"
"9","IX","CONST.AMENDMENT.09","01-constitutional-source-map/constitution/amendments/AMENDMENT_09.yaml","2b30f991d3a5df0ddca9327143d8019c8c2969ad","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","d0a1ad2699fce83c0648b05aa61cc4439bac07ae","PRE-UNCHANGED","ADMITTED","STRUCTURE_ESTABLISHED","NOT-POPULATED","PRE-UNCHANGED","251b94249087f2820ecb4c438da8d5285cd0f775","FALSE","PENDING"
"10","X","CONST.AMENDMENT.10","01-constitutional-source-map/constitution/amendments/AMENDMENT_10.yaml","1555144236ef4744cd911af62fa9f8082b5fd0c1","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","d0a1ad2699fce83c0648b05aa61cc4439bac07ae","PRE-UNCHANGED","ADMITTED","STRUCTURE_ESTABLISHED","NOT-POPULATED","PRE-UNCHANGED","77250695dd93271f4de78341d5a41577aa233e4d","FALSE","PENDING"
