"parent_source_unit_id","article","section","candidate_count","parent_text_sha256","reconstruction_status","boundary_status","adjudication_status"
"US-CONST-ART01-SEC01-CL000","1","1","1","7AD8C29DF9BD9A57C4A35A6E3ADB79F84626A692BEF002C020068C40C74B7EE5","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART01-SEC02-CL000","1","2","8","0004222936EE1B0C51F249E9530FA367C0859877BCBD9F54B17C73C7D676C13E","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART01-SEC03-CL000","1","3","9","CF362C606B1A50613C97DA09AAFB449B07A1F96721D8FC12D2D6145812C12DC0","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART01-SEC04-CL000","1","4","3","5334356558295673FC8A955598E81180CAE7FB73B765105BEA4B09EA9661C6B8","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART01-SEC05-CL000","1","5","6","3CB64A0D197B10A9BCAA46D07C5276F1922EFB4D07FA793558039C2054D57C15","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART01-SEC06-CL000","1","6","6","DBD5433E3AB5F0F8E0D8383787E611E858AB795FD8F03F293019DE272C025E54","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART01-SEC07-CL000","1","7","6","6196B0D3EF638778485D58F4FF489BBF7EFA4E46DAD3F03E8A8803BD0929FD48","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART01-SEC08-CL000","1","8","19","0A81506AE63B6FC5F78BD13956E49315D280F1D9387CC26F7D52EFF186C7E842","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART01-SEC09-CL000","1","9","6","4568622A3AF7D0247685D6C82C0A3EA918CC4C9B494438017D6984A7BDC2F414","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART01-SEC10-CL000","1","10","10","694EA2BBCEAF9BABD9A09E038F6E63CD4722051F8BF6F4D8AB24BEE19E259867","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART02-SEC01-CL000","2","1","17","C44DA12197F844A37D7000DA1719E6075BE186EE7EE5F76D48B20068CD990F77","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART02-SEC02-CL000","2","2","5","AA92DCB9E83858F778CCA9EECAAB2F1169E9F3517F96B9730035C4ED68AE55D7","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART02-SEC03-CL000","2","3","4","3B768E3CDDDF10ADCBD1B340A3A9C1C706B91A3AA4C3DF52F44329DC52A3769C","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART02-SEC04-CL000","2","4","2","829E4AE5CCBB9AB369A2CB52F2F83F9756D685F2469C29BAA5E59CD4A018258C","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART03-SEC01-CL000","3","1","2","17570DBF3BAAA0F8E1A1BA894B26B041A7F917889A59698DA1B6DF47543B40A0","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART03-SEC02-CL000","3","2","11","36DA9C61B98EC4F3D30B0A28E32751BB37BD9E64450E2F02EE925A725D50ACD2","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART03-SEC03-CL000","3","3","3","1B31CB0B075E81EFF1FDAE06104E2DFC5D8495227E6D95957F597055C985EDDC","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART04-SEC01-CL000","4","1","2","3479295FDD50C9E146BA95420BA1626A93FD8D2D889C7C3ACD99F24807E9A592","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART04-SEC02-CL000","4","2","2","EEB371E9D84C74FCBCF51F123CCEA74CE71B8953F279FA4B1E131BCB239B6E72","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART04-SEC03-CL000","4","3","5","DBA98374C8A445F1AA7F83B4A964ABA301C3917F20E262B524AC2B4AD0A53967","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART04-SEC04-CL000","4","4","2","9512B5F5AE4FC9BB88FE343FFEEBE370675A91124E08D0E7310C5CF6BAACF3A5","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART05-SEC00-CL000","5","0","3","F1F33EF723363DE05C607777BC37EF7EC4572C4F4971A7EB7F0BEF93C9B6848E","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART06-SEC00-CL000","6","0","5","2282D8AE5E12AD34770C4BBD4BE6BDF41824A6A235B3547CC0B58B3C172057F9","PASS","CANDIDATES-GENERATED","PENDING"
"US-CONST-ART07-SEC00-CL000","7","0","1","769B90CB26A1EF1F7FD92501CF16E9434B352F5B8ABC086B2D029870CC577CC6","PASS","CANDIDATES-GENERATED","PENDING"
