"atomic_clause_id","global_ordinal","parent_source_unit_id","parent_atomic_ordinal","article","section","materialization_type","source_candidate_ids","source_candidate_decision","source_child_ordinal","source_child_count","source_text","source_text_sha256","source_text_mutated","atomicity_status","constitutional_role","mechanism_mapping","predicate_mapping","orynth_mapping"
"US-CONST-ATOM-000001","1","US-CONST-ART01-SEC01-CL000","1","1","1","SPLIT-CHILD","US-CONST-ART01-SEC01-CL000-AT001","FURTHER-SPLIT","1","2","All legislative Powers herein granted shall be vested in a
Congress of the United States, ","162C7D727B1143316F9E0A907B3F2C08992C65939955C7463D4BFEF681496ADB","NO","FINAL-ATOMIC","UNASSESSED","NO","NO","NO"
"US-CONST-ATOM-000002","2","US-CONST-ART01-SEC01-CL000","2","1","1","SPLIT-CHILD","US-CONST-ART01-SEC01-CL000-AT001","FURTHER-SPLIT","2","2","which shall consist of a Sen-
ate and House of Representatives.","91CB42B27EC3259FF966F676BD1D29EBFA246CBFC67A3251E531D1B9A7726563","NO","FINAL-ATOMIC","UNASSESSED","NO","NO","NO"
"US-CONST-ATOM-000003","3","US-CONST-ART01-SEC02-CL000","1","1","2","SPLIT-CHILD","US-CONST-ART01-SEC02-CL000-AT001","FURTHER-SPLIT","1","2","The House of Representatives shall be composed of Mem-
bers chosen every second Year by the People of the several
States, ","E0FD29536264AFF88664343387DD5F1E62CA8E023AE181A3878E68795761ABC6","NO","FINAL-ATOMIC","UNASSESSED","NO","NO","NO"
"US-CONST-ATOM-000004","4","US-CONST-ART01-SEC02-CL000","2","1","2","SPLIT-CHILD","US-CONST-ART01-SEC02-CL000-AT001","FURTHER-SPLIT","2","2","and the Electors in each State shall have the Qualifi-
cations requisite for Electors of the most numerous Branch
of the State Legislature.","964B3432564743C1DB30E36F8D431A9D91D9F78137B5FEB74E2394351758C3AD","NO","FINAL-ATOMIC","UNASSESSED","NO","NO","NO"
"US-CONST-ATOM-000005","5","US-CONST-ART01-SEC02-CL000","3","1","2","RETAIN","US-CONST-ART01-SEC02-CL000-AT002","RETAIN","1","1","
No Person shall be a Representative who shall not have
attained to the Age of twenty five Years, and been seven
Years a Citizen of the United States, and who shall not,
when elected, be an Inhabitant of that State in which he
shall be chosen.","7076C30D55C866E40FA774ACC215522F806FB548D1E7293EB4F0476B8000BE13","NO","FINAL-ATOMIC","UNASSESSED","NO","NO","NO"
"US-CONST-ATOM-000006","6","US-CONST-ART01-SEC02-CL000","4","1","2","SPLIT-CHILD","US-CONST-ART01-SEC02-CL000-AT003","FURTHER-SPLIT","1","2","
[Representatives and direct Taxes shall be apportioned
among the several States which may be included within
this Union, according to their respective Numbers, which
shall be determined by adding to the whole Number of
free Persons, including those bound to Service for a Term
of Years, and excluding Indians not taxed, three fifths of
all other Persons.]* ","446F6DB2F58E22B8958AA5A5C4E97FB0DC70025EC2D22BAF2BEAD548AEDE5AD2","NO","FINAL-ATOMIC","UNASSESSED","NO","NO","NO"
"US-CONST-ATOM-000007","7","US-CONST-ART01-SEC02-CL000","5","1","2","SPLIT-CHILD","US-CONST-ART01-SEC02-CL000-AT003","FURTHER-SPLIT","2","2","The actual Enumeration shall be made
within three Years after the first Meeting of the Congress
of the United States, and within every subsequent Term of
ten Years, in such Manner as they shall by Law direct.","682A631C19845CF015861F7E25EE9C9C740085F77B2AFDD4CD403F72A6CC5C3B","NO","FINAL-ATOMIC","UNASSESSED","NO","NO","NO"
"US-CONST-ATOM-000008","8","US-CONST-ART01-SEC02-CL000","6","1","2","SPLIT-CHILD","US-CONST-ART01-SEC02-CL000-AT004","FURTHER-SPLIT","1","2"," The
Number of Representatives shall not exceed one for every
thirty Thousand, ","73657780549899E7F83E49F386BB86BBAFD90245BC84E35DDDDEF188A8A7FC49","NO","FINAL-ATOMIC","UNASSESSED","NO","NO","NO"
"US-CONST-ATOM-000009","9","US-CONST-ART01-SEC02-CL000","7","1","2","SPLIT-CHILD","US-CONST-ART01-SEC02-CL000-AT004","FURTHER-SPLIT","2","2","but each State shall have at Least one
Representative;","F3AF87982C95968596B5A44F0F9677BA4B7996EF7684487C0EF81B77BAFA7081","NO","FINAL-ATOMIC","UNASSESSED","NO","NO","NO"
"US-CONST-ATOM-000010","10","US-CONST-ART01-SEC02-CL000","8","1","2","RETAIN","US-CONST-ART01-SEC02-CL000-AT005","RETAIN","1","1"," and until such enumeration shall be made,
the State of New Hampshire shall be entitled to chuse
three, Massachusetts eight, Rhode-Island and Providence
Plantations one, Connecticut five, New-York six, New
Jersey four, Pennsylvania eight, Delaware one, Maryland
six, Virginia ten, North Carolina five, South Carolina five,
and Georgia three.","258A05D77F8B8BBC22BB94961704F51902162DACAF7CBF1307AC18C1A11A5AB1","NO","FINAL-ATOMIC","UNASSESSED","NO","NO","NO"
