"atom_id","amendment_number","amendment_roman","section_number","parent_candidate_id","parent_source_segment_id","source_object_id","source_path","source_line_start","source_line_end","parent_decision","child_ordinal","child_count","source_excerpt","parent_source_text","source_exact","parent_context_required","context_scope","reconstruction_status","atomic_status","interpretation_status","mechanism_status","predicate_status","crosswalk_status"
"US-AM-ATOM-000001","1","I","","US-AM-ATOM-CAND-000001","US-AM-SEG-000002","CONST.AMENDMENT.01","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","423","423","SPLIT","1","6","Congress shall make no law respecting an establishment of religion","Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","TRUE","TRUE","US-AM-ATOM-CAND-000001","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000002","1","I","","US-AM-ATOM-CAND-000001","US-AM-SEG-000002","CONST.AMENDMENT.01","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","423","423","SPLIT","2","6",", or prohibiting the free exercise thereof","Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","TRUE","TRUE","US-AM-ATOM-CAND-000001","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000003","1","I","","US-AM-ATOM-CAND-000001","US-AM-SEG-000002","CONST.AMENDMENT.01","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","423","423","SPLIT","3","6","; or abridging the freedom of speech","Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","TRUE","TRUE","US-AM-ATOM-CAND-000001","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000004","1","I","","US-AM-ATOM-CAND-000001","US-AM-SEG-000002","CONST.AMENDMENT.01","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","423","423","SPLIT","4","6",", or of the press","Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","TRUE","TRUE","US-AM-ATOM-CAND-000001","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000005","1","I","","US-AM-ATOM-CAND-000001","US-AM-SEG-000002","CONST.AMENDMENT.01","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","423","423","SPLIT","5","6","; or the right of the people peaceably to assemble","Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","TRUE","TRUE","US-AM-ATOM-CAND-000001","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000006","1","I","","US-AM-ATOM-CAND-000001","US-AM-SEG-000002","CONST.AMENDMENT.01","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","423","423","SPLIT","6","6",", and to petition the Government for a redress of grievances.","Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","TRUE","TRUE","US-AM-ATOM-CAND-000001","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000007","2","II","","US-AM-ATOM-CAND-000002","US-AM-SEG-000004","CONST.AMENDMENT.02","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","427","427","RETAIN","1","1","A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","TRUE","FALSE","NONE","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000008","3","III","","US-AM-ATOM-CAND-000003","US-AM-SEG-000006","CONST.AMENDMENT.03","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","431","431","SPLIT","1","2","No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner","No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner, nor in time of war, but in a manner to be prescribed by law.","TRUE","TRUE","US-AM-ATOM-CAND-000003","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000009","3","III","","US-AM-ATOM-CAND-000003","US-AM-SEG-000006","CONST.AMENDMENT.03","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","431","431","SPLIT","2","2",", nor in time of war, but in a manner to be prescribed by law.","No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner, nor in time of war, but in a manner to be prescribed by law.","TRUE","TRUE","US-AM-ATOM-CAND-000003","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000010","4","IV","","US-AM-ATOM-CAND-000004","US-AM-SEG-000008","CONST.AMENDMENT.04","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","435","435","SPLIT","1","2","The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated","The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated, and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","TRUE","TRUE","US-AM-ATOM-CAND-000004","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000011","4","IV","","US-AM-ATOM-CAND-000004","US-AM-SEG-000008","CONST.AMENDMENT.04","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","435","435","SPLIT","2","2",", and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated, and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","TRUE","TRUE","US-AM-ATOM-CAND-000004","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000012","5","V","","US-AM-ATOM-CAND-000005","US-AM-SEG-000010","CONST.AMENDMENT.05","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","439","439","SPLIT","1","5","No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger","No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger; nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb; nor shall be compelled in any criminal case to be a witness against himself, nor be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation.","TRUE","TRUE","US-AM-ATOM-CAND-000005","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000013","5","V","","US-AM-ATOM-CAND-000005","US-AM-SEG-000010","CONST.AMENDMENT.05","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","439","439","SPLIT","2","5","; nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb","No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger; nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb; nor shall be compelled in any criminal case to be a witness against himself, nor be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation.","TRUE","TRUE","US-AM-ATOM-CAND-000005","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000014","5","V","","US-AM-ATOM-CAND-000005","US-AM-SEG-000010","CONST.AMENDMENT.05","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","439","439","SPLIT","3","5","; nor shall be compelled in any criminal case to be a witness against himself, ","No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger; nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb; nor shall be compelled in any criminal case to be a witness against himself, nor be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation.","TRUE","TRUE","US-AM-ATOM-CAND-000005","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000015","5","V","","US-AM-ATOM-CAND-000005","US-AM-SEG-000010","CONST.AMENDMENT.05","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","439","439","SPLIT","4","5","nor be deprived of life, liberty, or property, without due process of law","No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger; nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb; nor shall be compelled in any criminal case to be a witness against himself, nor be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation.","TRUE","TRUE","US-AM-ATOM-CAND-000005","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000016","5","V","","US-AM-ATOM-CAND-000005","US-AM-SEG-000010","CONST.AMENDMENT.05","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","439","439","SPLIT","5","5","; nor shall private property be taken for public use, without just compensation.","No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger; nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb; nor shall be compelled in any criminal case to be a witness against himself, nor be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation.","TRUE","TRUE","US-AM-ATOM-CAND-000005","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
"US-AM-ATOM-000017","6","VI","","US-AM-ATOM-CAND-000006","US-AM-SEG-000012","CONST.AMENDMENT.06","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","443","443","SPLIT","1","6","In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial","In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial, by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law, and to be informed of the nature and cause of the accusation; to be confronted with the witnesses against him; to have compulsory process for obtaining witnesses in his favor, and to have the Assistance of Counsel for his defence.","TRUE","TRUE","US-AM-ATOM-CAND-000006","PASS","MATERIALIZED-PENDING-FINAL-FREEZE","NONE","NOT-GENERATED","NOT-GENERATED","NOT-AUTHORIZED"
