"segment_id","amendment_number","amendment_roman","source_object_id","source_path","source_line","amendment_segment_ordinal","section_number","segment_class","source_text","extraction_status","interpretation_status"
"US-AM-SEG-000001","1","I","CONST.AMENDMENT.01","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","421","1","","HEADING","Amendment I","EXTRACTED","NONE"
"US-AM-SEG-000002","1","I","CONST.AMENDMENT.01","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","423","2","","OPERATIVE_TEXT","Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","EXTRACTED","NONE"
"US-AM-SEG-000003","2","II","CONST.AMENDMENT.02","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","425","1","","HEADING","Amendment II","EXTRACTED","NONE"
"US-AM-SEG-000004","2","II","CONST.AMENDMENT.02","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","427","2","","OPERATIVE_TEXT","A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","EXTRACTED","NONE"
"US-AM-SEG-000005","3","III","CONST.AMENDMENT.03","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","429","1","","HEADING","Amendment III","EXTRACTED","NONE"
"US-AM-SEG-000006","3","III","CONST.AMENDMENT.03","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","431","2","","OPERATIVE_TEXT","No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner, nor in time of war, but in a manner to be prescribed by law.","EXTRACTED","NONE"
"US-AM-SEG-000007","4","IV","CONST.AMENDMENT.04","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","433","1","","HEADING","Amendment IV","EXTRACTED","NONE"
"US-AM-SEG-000008","4","IV","CONST.AMENDMENT.04","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","435","2","","OPERATIVE_TEXT","The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated, and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","EXTRACTED","NONE"
"US-AM-SEG-000009","5","V","CONST.AMENDMENT.05","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","437","1","","HEADING","Amendment V","EXTRACTED","NONE"
"US-AM-SEG-000010","5","V","CONST.AMENDMENT.05","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","439","2","","OPERATIVE_TEXT","No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger; nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb; nor shall be compelled in any criminal case to be a witness against himself, nor be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation.","EXTRACTED","NONE"
"US-AM-SEG-000011","6","VI","CONST.AMENDMENT.06","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","441","1","","HEADING","Amendment VI","EXTRACTED","NONE"
"US-AM-SEG-000012","6","VI","CONST.AMENDMENT.06","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","443","2","","OPERATIVE_TEXT","In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial, by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law, and to be informed of the nature and cause of the accusation; to be confronted with the witnesses against him; to have compulsory process for obtaining witnesses in his favor, and to have the Assistance of Counsel for his defence.","EXTRACTED","NONE"
"US-AM-SEG-000013","7","VII","CONST.AMENDMENT.07","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","445","1","","HEADING","Amendment VII","EXTRACTED","NONE"
"US-AM-SEG-000014","7","VII","CONST.AMENDMENT.07","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","447","2","","OPERATIVE_TEXT","In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved, and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","EXTRACTED","NONE"
"US-AM-SEG-000015","8","VIII","CONST.AMENDMENT.08","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","449","1","","HEADING","Amendment VIII","EXTRACTED","NONE"
"US-AM-SEG-000016","8","VIII","CONST.AMENDMENT.08","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","451","2","","OPERATIVE_TEXT","Excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.","EXTRACTED","NONE"
"US-AM-SEG-000017","9","IX","CONST.AMENDMENT.09","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","453","1","","HEADING","Amendment IX","EXTRACTED","NONE"
"US-AM-SEG-000018","9","IX","CONST.AMENDMENT.09","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","455","2","","OPERATIVE_TEXT","The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","EXTRACTED","NONE"
"US-AM-SEG-000019","10","X","CONST.AMENDMENT.10","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","457","1","","HEADING","Amendment X","EXTRACTED","NONE"
"US-AM-SEG-000020","10","X","CONST.AMENDMENT.10","01-constitutional-source-map/authoritative-source/national-archives/bill-of-rights-transcript.html","459","2","","OPERATIVE_TEXT","The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","EXTRACTED","NONE"
"US-AM-SEG-000021","11","XI","CONST.AMENDMENT.11","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","370","1","","HEADING","AMENDMENT XI","EXTRACTED","NONE"
"US-AM-SEG-000022","11","XI","CONST.AMENDMENT.11","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","372","2","","RATIFICATION_METADATA","Passed by Congress March 4, 1794. Ratified February 7, 1795.","EXTRACTED","NONE"
"US-AM-SEG-000023","11","XI","CONST.AMENDMENT.11","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","374","3","","EDITORIAL_NOTE","Note: Article III, section 2, of the Constitution was modified by amendment 11.","EXTRACTED","NONE"
"US-AM-SEG-000024","11","XI","CONST.AMENDMENT.11","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","376","4","","OPERATIVE_TEXT","The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.","EXTRACTED","NONE"
"US-AM-SEG-000025","12","XII","CONST.AMENDMENT.12","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","378","1","","HEADING","AMENDMENT XII","EXTRACTED","NONE"
"US-AM-SEG-000026","12","XII","CONST.AMENDMENT.12","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","380","2","","RATIFICATION_METADATA","Passed by Congress December 9, 1803. Ratified June 15, 1804.","EXTRACTED","NONE"
