"generation_unit_id","source_construction_id","unit_type","amendment_number","amendment_roman","section_number","atom_count","atom_ids","source_construction_text","context_required","source_exact","reconstruction_status","adjudication_status","mechanism_count","primary_family","secondary_family","normalized_mechanism_plan","negative_condition_plan","jurisdiction_scope_plan","reviewer_note","orynth_mapping_status","correspondence_grade"
"US-AM-MECH-UNIT-000001","US-AM-ATOM-CAND-000001","UNIT-CONSTRUCTION","1","I","","6","US-AM-ATOM-000001|US-AM-ATOM-000002|US-AM-ATOM-000003|US-AM-ATOM-000004|US-AM-ATOM-000005|US-AM-ATOM-000006","Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000002","US-AM-ATOM-CAND-000002","UNIT-ATOM","2","II","","1","US-AM-ATOM-000007","A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000003","US-AM-ATOM-CAND-000003","UNIT-CONSTRUCTION","3","III","","2","US-AM-ATOM-000008|US-AM-ATOM-000009","No Soldier shall, in time of peace be quartered in any house, without the consent of the Owner, nor in time of war, but in a manner to be prescribed by law.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000004","US-AM-ATOM-CAND-000004","UNIT-CONSTRUCTION","4","IV","","2","US-AM-ATOM-000010|US-AM-ATOM-000011","The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated, and no Warrants shall issue, but upon probable cause, supported by Oath or affirmation, and particularly describing the place to be searched, and the persons or things to be seized.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000005","US-AM-ATOM-CAND-000005","UNIT-CONSTRUCTION","5","V","","5","US-AM-ATOM-000012|US-AM-ATOM-000013|US-AM-ATOM-000014|US-AM-ATOM-000015|US-AM-ATOM-000016","No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger; nor shall any person be subject for the same offence to be twice put in jeopardy of life or limb; nor shall be compelled in any criminal case to be a witness against himself, nor be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000006","US-AM-ATOM-CAND-000006","UNIT-CONSTRUCTION","6","VI","","6","US-AM-ATOM-000017|US-AM-ATOM-000018|US-AM-ATOM-000019|US-AM-ATOM-000020|US-AM-ATOM-000021|US-AM-ATOM-000022","In all criminal prosecutions, the accused shall enjoy the right to a speedy and public trial, by an impartial jury of the State and district wherein the crime shall have been committed, which district shall have been previously ascertained by law, and to be informed of the nature and cause of the accusation; to be confronted with the witnesses against him; to have compulsory process for obtaining witnesses in his favor, and to have the Assistance of Counsel for his defence.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000007","US-AM-ATOM-CAND-000007","UNIT-CONSTRUCTION","7","VII","","2","US-AM-ATOM-000023|US-AM-ATOM-000024","In Suits at common law, where the value in controversy shall exceed twenty dollars, the right of trial by jury shall be preserved, and no fact tried by a jury, shall be otherwise re-examined in any Court of the United States, than according to the rules of the common law.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000008","US-AM-ATOM-CAND-000008","UNIT-CONSTRUCTION","8","VIII","","3","US-AM-ATOM-000025|US-AM-ATOM-000026|US-AM-ATOM-000027","Excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000009","US-AM-ATOM-CAND-000009","UNIT-ATOM","9","IX","","1","US-AM-ATOM-000028","The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000010","US-AM-ATOM-CAND-000010","UNIT-ATOM","10","X","","1","US-AM-ATOM-000029","The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
